INSTNM,STABBR,IS_PUBLIC,Affordability_Score,Access_Score,Outcomes_Score,Overall_Score
West Coast University-Orange County,CA,0,0.5832450491865315,0.7487171790769069,0.5824380794170329,0.6381334358934905
Feather River Community College District,CA,1,0.7137541721533994,0.7986785495566082,0.4019438185017987,0.6381255134039355
Olympic College,WA,1,0.7299952339189935,0.8085520042219785,0.3752985583016398,0.6379485988142038
Concorde Career College-Aurora,CO,0,0.653683861655598,0.8868171622689511,0.37330425475239815,0.6379350928923158
CUNY Borough of Manhattan Community College,NY,1,0.771447571823264,0.7689845259144177,0.37288469580094485,0.6377722645128755
CUNY Queens College,NY,1,0.7176072423612595,0.7539298243568356,0.4417729648958389,0.637770010537978
Bergen Community College,NJ,1,0.7363737383132322,0.7915482448922748,0.3849623994834488,0.6376281275629853
Monty Tech,MA,1,0.653683861655598,0.8912080296935849,0.367837401614961,0.637576430988048
Hodges University,FL,0,0.6511343073642625,0.8073246830336486,0.4539271778226708,0.6374620560735272
HCA Florida Mercy Hospital School of Practical Nursing,FL,0,0.653683861655598,0.801656140846605,0.4567097772416492,0.6373499265812841
Kauai Community College,HI,1,0.7507378214687979,0.8034971956328083,0.35767428528092243,0.6373031007941762
California State University-Fullerton,CA,1,0.670553218159182,0.77261507696609,0.4685632832689784,0.6372438594647502
Concorde Career College-Broadway,MO,0,0.653683861655598,0.9047118671643899,0.3531262662471681,0.6371739983557186
Rasmussen University-Minnesota,MN,0,0.6872365288739897,0.7644056833841284,0.45959961484632006,0.6370806090348128
Quinsigamond Community College,MA,1,0.7448920971936626,0.7828354752240783,0.3830743842019087,0.6369339855398831
Arizona College of Nursing-Las Vegas,NV,0,0.5938971527444596,0.9312509000984801,0.3856106922638173,0.6369195817022524
Chamberlain University-Georgia,GA,0,0.595888987378625,0.7915495596483013,0.5231814805862967,0.636873342537741
Eastern Suffolk BOCES,NY,1,0.653683861655598,0.8250019603372237,0.4318690902559341,0.636851637416252
El Camino Community College District,CA,1,0.7552431663634382,0.7843684689231645,0.3708792040129978,0.6368302797665335
Hawaii Community College,HI,1,0.7378088413325851,0.8204810296151654,0.3521444983007672,0.6368114564161726
Belanger School of Nursing,NY,0,0.6826227894376826,0.7503870693376686,0.4774136129660342,0.6368078239137952
Marion S Whelan School of Nursing of Geneva General Hospital,NY,0,0.7496958977573055,0.7078211922566089,0.45250299948841016,0.6366733631674415
University of Advancing Technology,AZ,0,0.6234978946353361,0.8766021312542374,0.4098951930280589,0.6366650729725442
University of Washington-Bothell Campus,WA,1,0.49953679716532,0.8934460670335964,0.5165039568106434,0.6364956070031865
Trinity International University-Florida,FL,0,0.6829802194544556,0.7445521395225045,0.48172155982661746,0.636417972934526
Hennepin Technical College,MN,1,0.7543746502429758,0.7619245289802414,0.3928948607255936,0.6363980133162702
Pennsylvania State University-Penn State Harrisburg,PA,1,0.5677585030654081,0.8846350018883165,0.4565922698014861,0.6363285915850702
Temple College,TX,1,0.7830644626777292,0.763056829172212,0.3627369632951263,0.6362860850483558
California State University-San Marcos,CA,1,0.6411617603437691,0.8380494939783487,0.4292388577457743,0.636150037355964
Nassau Community College,NY,1,0.7328079710180969,0.7858326689567845,0.3895048243978505,0.636048488124244
Elgin Community College,IL,1,0.7865839683149976,0.7395572372727629,0.3818632573620466,0.6360014876499357
The Chicago School at San Diego,CA,0,0.6488045590123726,0.8452838994028751,0.41370218765800376,0.6359302153577505
Orange Coast College,CA,1,0.7397013738768164,0.780856050965796,0.3869874706891303,0.6358482985105809
Community College of Baltimore County,MD,1,0.7422664062787061,0.7876629769541235,0.37686491172039904,0.6355980983177428
California State University-Chico,CA,1,0.6174424555152774,0.8219267876946919,0.4670490909230902,0.6354727780443531
California State University-Stanislaus,CA,1,0.656088352446683,0.7995005704279229,0.4506639062125377,0.6354176096957145
Concorde Career College-Portland,OR,0,0.653683861655598,0.8794393027777235,0.37304133114282073,0.6353881651920473
George Mason University,VA,1,0.5062702320292112,0.8842758597792031,0.5151100917807464,0.6352187278630536
